n=1000  elapsed=19.6s
  LPRNet  : 888/1000 = 88.8%
  rpv3    : 906/1000 = 90.6%

--- disagreements (LPRNet wrong) ---
  京PL3N67.jpg            gt=京PL3N67   lpr=<0>PL3N67 rpv3=京PL3N67   [rpv3 OK]
  川JK0707.jpg            gt=川JK0707   lpr=渝JK0707   rpv3=川JK0707   [rpv3 OK]
  川X90621.jpg            gt=川X90621   lpr=渝X90621   rpv3=川X90621   [rpv3 OK]
  沪AMS087.jpg            gt=沪AMS087   lpr=京AMS087   rpv3=沪AMS087   [rpv3 OK]
  沪C21F13.jpg            gt=沪C21F13   lpr=京C21F13   rpv3=沪C21F13   [rpv3 OK]
  沪C8GK31.jpg            gt=沪C8GK31   lpr=京C8GK31   rpv3=沪C8GK31   [rpv3 OK]
  浙D911SY.jpg            gt=浙D911SY   lpr=浙D91186Y  rpv3=浙D911SY   [rpv3 OK]
  浙D9594H.jpg            gt=浙D9594H   lpr=浙D9594HM  rpv3=浙D9594H   [rpv3 OK]
  皖A051N0.jpg            gt=皖A051N0   lpr=皖A51N0    rpv3=皖A051N0   [rpv3 OK]
  皖A0G826.jpg            gt=皖A0G826   lpr=皖A0G6826  rpv3=皖A0G826   [rpv3 OK]
  皖A0W669.jpg            gt=皖A0W669   lpr=皖A0W69    rpv3=皖A0W669   [rpv3 OK]
  皖A1X751.jpg            gt=皖A1X751   lpr=津AWM73    rpv3=皖A1X751   [rpv3 OK]
  皖A32C32.jpg            gt=皖A32C32   lpr=皖A32C362  rpv3=皖A32C32   [rpv3 OK]
  皖A3Y127.jpg            gt=皖A3Y127   lpr=皖A3127    rpv3=皖A3Y127   [rpv3 OK]
  皖A506T7.jpg            gt=皖A506T7   lpr=皖AJ6T7    rpv3=皖A506T7   [rpv3 OK]
  皖A531J3.jpg            gt=皖A531J3   lpr=皖A5331J3  rpv3=皖A531J3   [rpv3 OK]
  皖A586H7.jpg            gt=皖A586H7   lpr=皖A586PP7  rpv3=粤A586H7   [both wrong]
  皖A59D31.jpg            gt=皖A59D31   lpr=皖A59031   rpv3=皖A59D31   [rpv3 OK]
  皖A5G895.jpg            gt=皖A5G895   lpr=皖A5G08985 rpv3=粤A5G422   [both wrong]
  皖A5S422.jpg            gt=皖A5S422   lpr=皖A55422   rpv3=皖A5S422   [rpv3 OK]
  皖A5S939.jpg            gt=皖A5S939   lpr=皖A559397  rpv3=皖A5S939   [rpv3 OK]
  皖A79Y11.jpg            gt=皖A79Y11   lpr=青A791     rpv3=皖A79Y11   [rpv3 OK]
  皖A84A12.jpg            gt=皖A84A12   lpr=皖AA84A12  rpv3=皖A84A12   [rpv3 OK]
  皖A88G02.jpg            gt=皖A88G02   lpr=皖A88G091  rpv3=A86603    [both wrong]
  皖A88J99.jpg            gt=皖A88J99   lpr=皖A68J199  rpv3=皖A88J99   [rpv3 OK]
  皖A9U522.jpg            gt=皖A9U522   lpr=皖A9U5229  rpv3=皖A9U522   [rpv3 OK]
